episode,is_optimal,surprise
0,0,0.000000
1,0,0.000000
2,1,0.100014
3,0,0.090012
4,1,0.164144
5,0,0.147730
6,1,0.188430
7,1,0.209714
8,0,0.188743
9,0,0.169868
10,0,0.153643
11,1,0.145909
12,1,0.134988
13,1,0.121489
14,1,0.109340
15,1,0.098406
16,1,0.088565
17,1,0.079709
18,1,0.071738
19,1,0.064564
20,1,0.058108
21,1,0.052297
22,1,0.047067
23,0,0.128892
24,1,0.116003
25,0,0.191043
26,1,0.171939
27,1,0.154745
28,0,0.212238
29,0,0.257508
30,0,0.290061
31,0,0.309671
32,1,0.278704
33,1,0.250834
34,0,0.250224
35,1,0.225201
36,0,0.216594
37,1,0.194935
38,0,0.181370
39,1,0.169231
40,1,0.160543
41,1,0.153555
42,1,0.146921
43,0,0.132856
44,0,0.120414
45,0,0.108506
46,1,0.107064
47,0,0.096357
48,0,0.086722
49,0,0.078049
50,1,0.085555
51,1,0.093533
52,1,0.100842
53,1,0.106596
54,1,0.110139
55,1,0.111008
56,1,0.108905
57,1,0.103659
58,1,0.095203
59,1,0.085683
60,1,0.077115
61,1,0.069403
62,1,0.062463
63,1,0.056217
64,1,0.050595
65,0,0.083236
66,1,0.074912
67,0,0.111536
68,1,0.100382
69,1,0.090344
70,1,0.081309
71,1,0.073178
72,1,0.065861
73,1,0.059275
74,1,0.053347
75,1,0.048012
76,1,0.043211
77,1,0.038890
78,1,0.035001
79,0,0.109477
80,1,0.098530
81,1,0.088677
82,1,0.079809
83,1,0.071828
84,1,0.064645
85,1,0.058181
86,1,0.052363
87,1,0.047126
88,1,0.042414
89,1,0.038172
90,1,0.034355
91,1,0.030920
92,1,0.027828
93,1,0.025045
94,1,0.022540
95,1,0.020286
96,1,0.018258
97,1,0.016432
98,1,0.014789
99,1,0.013310
100,0,0.123096
101,1,0.110786
102,1,0.099708
103,1,0.089737
104,1,0.080763
105,0,0.154022
106,1,0.138620
107,1,0.124758
108,1,0.112282
109,1,0.101054
110,1,0.090949
111,1,0.081854
112,1,0.073668
113,1,0.066301
114,1,0.059671
115,1,0.053704
116,1,0.048334
117,1,0.043500
118,1,0.039150
119,1,0.035235
120,1,0.031712
121,1,0.028541
122,1,0.025687
123,1,0.023118
124,1,0.020806
125,1,0.018725
126,1,0.016853
127,1,0.015168
128,0,0.134985
129,1,0.121486
130,1,0.109338
131,1,0.098404
132,1,0.088564
133,1,0.079707
134,1,0.071737
135,1,0.064563
136,1,0.058107
137,1,0.052296
138,1,0.047066
139,1,0.042360
140,1,0.038124
141,0,0.124745
142,1,0.112270
143,1,0.101043
144,1,0.090939
145,1,0.081845
146,1,0.073660
147,1,0.066294
148,1,0.059665
149,1,0.053698
150,0,0.130449
151,1,0.117404
152,1,0.105663
153,1,0.095097
154,1,0.085587
155,1,0.077029
